Przychody (Prowizja + Interchange) dla automatow 1129-1134
Zrodlo: PL_TVM_2026-03.xlsx
Zakres miesiecy: 2025-01 do 2026-02

Automat 1129 | Lokalizacja: Września
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-04: prowizja=294,17 | interchange=0,09 | suma=294,26
2025-05: prowizja=558,47 | interchange=0,00 | suma=558,47
2025-06: prowizja=441,13 | interchange=0,00 | suma=441,13
2025-07: prowizja=718,20 | interchange=0,28 | suma=718,47
2025-08: prowizja=674,41 | interchange=0,86 | suma=675,27
2025-09: prowizja=651,22 | interchange=0,00 | suma=651,22
2025-10: prowizja=686,86 | interchange=0,38 | suma=687,24
2025-11: prowizja=619,83 | interchange=0,28 | suma=620,11
2025-12: prowizja=698,88 | interchange=0,00 | suma=698,88
2026-01: prowizja=592,35 | interchange=0,00 | suma=592,35
2026-02: prowizja=618,88 | interchange=2,34 | suma=621,22
SUMA 2025-01..2026-02: prowizja=6554,39 | interchange=4,23 | suma=6558,62

Automat 1130 | Lokalizacja: Nowy Tomyśl
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-04: prowizja=192,36 | interchange=9,09 | suma=201,45
2025-05: prowizja=437,11 | interchange=14,17 | suma=451,29
2025-06: prowizja=462,14 | interchange=13,45 | suma=475,59
2025-07: prowizja=408,38 | interchange=13,01 | suma=421,39
2025-08: prowizja=639,07 | interchange=22,93 | suma=662,00
2025-09: prowizja=391,18 | interchange=15,16 | suma=406,33
2025-10: prowizja=419,40 | interchange=17,45 | suma=436,85
2025-11: prowizja=453,01 | interchange=20,35 | suma=473,36
2025-12: prowizja=662,99 | interchange=35,75 | suma=698,75
2026-01: prowizja=441,74 | interchange=19,34 | suma=461,07
2026-02: prowizja=502,69 | interchange=23,34 | suma=526,03
SUMA 2025-01..2026-02: prowizja=5010,08 | interchange=204,03 | suma=5214,12

Automat 1131 | Lokalizacja: Kościan
2025-01: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-02: prowizja=0,00 | interchange=0,00 | suma=0,00
2025-03: prowizja=0,00 | interchange=0,00 | suma=0,00
